Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Cleanser,SATURDAY SKIN,Rise + Shine Gentle Cleanser,26,4.5,"Water, Glycerin, Stearic Acid, Myristic Acid, Lauric Acid, Potassium Hydroxide, Palmitic Acid, Citrus Limon (Lemon) Peel Oil, Juniperus Mexicana Oil, Quillaja Saponaria Bark Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Eucalyptus Globulus Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Hydrolyzed Avocado Protein, Ananas Sativus (Pineapple) Fruit Extract, Actinidia Chinensis (Kiwi) Fruit Extract, Fragaria Vesca (Strawberry) Fruit Extract, Prunus Persica (Peach) Extract, Vitis Vinifera (Grape) Fruit Extract, Coco-Glucoside, Glyceryl Sterate, Polyquaternium-7, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Potassium Cocoyl Glycinate, Sodium Cocoyl Isethionate, 1,2-Hexanediol, Citric Acid, Hydrogentated Lecithin, Maltodextrin, Saccharide Hydrolysate, Butylene Glycol, Cholesterol, Peg-800, Polysorbate 20, Sh-Oligopeptide-1, Sh-Polypeptide-1, Sh-Oligopeptide-2, Sh-Polypeptide-22, Sh-Polypeptide-45, Sh-Polypeptide-8, Sh-Polypeptide-9, Disodium Edta, Sodium Benzoate.",1,1,1,1,1
Face Mask,SEPHORA COLLECTION,Sleeping Mask - Aloe Vera,4,5.0,"Water, Butylene Glycol, Glycerin, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Sodium Hydroxide, Ethylhexylglycerin, Fragrance, PEG-30 Dipolyhydroxystearate, Trideceth-6, Tremella Fuciformis Sporocarp Extract, PEG-40 Hydrogenated Castor Oil, Aloe Barbadensis Leaf Juice, Sodium Hyaluronate.",1,1,1,1,1
Cleanser,CAUDALIE,Gentle Cleansing Milk,28,4.1,"Water, Cetearyl Isononanoate*, Butylene Glycol, Glycerin*, Cetyl Alcohol*, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Sodium Cocoyl Glutamate*, Decyl Glucoside*, Butyrospermum Parkii (Shea) Butter Extract*, Maltodextrin*, Carbomer, Potassium Cetyl Phosphate, Caprylyl Glycol, Hydrolyzed Vegetable Protein*, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Potassium Sorbate, Sodium Hydroxide, Trehalose*, Tocopherol*, Fragrance, Avena Sativa (Oat) Kernel Extract*, Centaurea Cyanus Flower Extract*, Palmitoyl Grape Seed Extract*, Hexyl Cinnamal, Linalool, Limonene. *Plant origin.",1,1,1,1,1
Treatment,DR. JART+,Dermaclear™ Micro Milk Peel,42,4.4,"Water, Hydrogenated Polydecene, Caprylic/Capric Triglyceride, Squalane, Carthamus Tinctorius (Safflower) Seed Oil, Glycerin, 1,2-Hexanediol, PEG-6 Caprylic/Capric Glycerides, PEG-40 Glyceryl Cocoate, Cyclopentasiloxane , Butylene Glycol, Phenoxyethanol, Propanediol, Cyclohexasiloxane, Sodium Coceth Sulfate, Pyrus Malus (Apple) Fruit Water, Alcohol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Protease, Ethylhexylglycerin, Caprylyl Glycol, Cocos Nucifera (Coconut) Fruit Extract, Propylene Glycol, Glutathione, Lactic Acid, Lactobionic Acid, Panthenol, Salicylic Acid, Polyglutamic Acid, Sodium Hyaluronate, Ascorbic Acid, Citric Acid, Hibiscus Sabdariffa Flower Extract, Malic Acid, Tartaric Acid, Crataegus Monogyna Flower Extract, Potassium Sorbate, Sodium Benzoate, Viola Tricolor Extract.",1,1,1,1,1
Treatment,CLINIQUE,Clinique Smart Custom-Repair Serum,60,4.0,"Water , Isododecane , Dimethicone , Cyclopentasiloxane , Polysilicone-11 , Butylene Glycol , Ascorbyl Glucoside , Peg-10 Dimethicone , Peg-6 , Citrus Grandis (Grapefruit) Peel Extract , Morus Nigra (Mulberry) Root Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Scutellaria Baicalensis Root Extract , Cucumis Sativus (Cucumber) Fruit Extract , Algae Extract , Plankton Extract , Vitis Vinifera (Grape) Fruit Extract , Sigesbeckia Orientalis (St. Paul'S Wort) Extract , Triticum Vulgare (Wheat) Germ Extract , Glycerin , Oryza Sativa (Rice) Bran Extract , Yeast Extract/Faex/Extrait De Levure , Acetyl Hexapeptide-8 , Palmitoyl Oligopeptide , Ergothioneine , Whey Protein/Lactis Protein/Proteine Du Petit-Lait , Polysorbate 20 , Micrococcus Lysate , Cholesterol , Di-C12-18 Alkyl Dimonium Chloride , Salicylic Acid , Isohexadecane , Propylene Glycol Dicaprate , Helianthus Annuus (Sunflower) Seedcake , Caffeine , Glycine Soja (Soybean) Protein , Tocopheryl Acetate , Acetyl Glucosamine , Caprylyl Glycol , Glyceryl Polymethacrylate , Dimethoxytolyl Propylresorcinol , Synthetic Fluorphlogopite , Glycyrrhetinic Acid , Tromethamine , Polysorbate 80 , Sodium Hyaluronate , Sodium Rna , Squalane , Aminopropyl Ascorbyl Phosphate , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Peg-8 , Lecithin , Hexylene Glycol , Acrylamide/Sodium Acryloyldimethyltaurate Copolymer , Sodium Hydroxide , Tin Oxide , Disodium Edta , Arabidopsis Thaliana Extract , Phenoxyethanol , Yellow 5 (Ci 19140) , Red 4 (Ci 14700) , Titanium Dioxide (Ci 77891)",1,1,1,1,1
Treatment,KIEHL'S SINCE 1851,Powerful-Strength Line-Reducing Concentrate 12.5% Vitamin C,62,3.8,"Propylene Glycol Dimethicone Glycerin Ascorbic Acid Ethylhexyl Palmitate Cetyl Peg/Ppg-10/1 Dimethicone Dimethicone Crosspolymer Ascorbyl Glucoside Cyclohexasiloxane Hydroxyethylpiperazine Ethane Sulfonic Acid Lauroyl Lysine Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer Polysilicone-11 Adenosine Hydrolyzed Hyaluronic Acid Limonene Isobutane Citrus Aurantium Dulcis (Orange) Peel Oil Citrus Limon Peel Oil, Lemon Peel Oil Citral Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate.",1,1,1,1,0
Eye cream,BAREMINERALS,SKINLONGEVITY™ Vital Power Eye Gel Cream,32,4.2,"Water, Glycerin, Propanediol, Dipropylene Glycol, Niacinamide, Pentaerythrityl Tetraethylhexanoate, Butyrospermum Parkii (Shea) Butter, Dimethicone, Ascorbyl Glucoside, Jojoba Esters, Theobroma Grandiflorum Seed Butter, Coconut Alkanes, Agar, Nylon-12, Peucedanum Japonicum Leaf/Stem Extract, Citrus Unshiu Peel Extract, Dunaliella Salina Extract, Eschscholtzia Californica Leaf Cell, Zingiber Aromaticus Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Polyacrylate Crosspolymer-6, Isoamyl Laurate, Panthenol, Potassium Hydroxide, Tocopherol, Coco-Caprylate/Caprate, Alcohol, Butylene Glycol, Sodium Polyacrylate Starch, Xanthan Gum, Sodium Citrate, Glyceryl Acrylate/Acrylic Acid Copolymer, Sodium Metaphosphate, Citric Acid, T-Butyl Alcohol, Sodium Hyaluronate, Ethylhexylglycerin, Palmitoyl Tripeptide-5, Pantolactone, Potassium Sorbate, Succinoglycan, Sodium Benzoate, Phenoxyethanol.",1,1,1,1,1
Moisturizer,MURAD,Skin Perfecting Lotion - Blemish Prone/Oily Skin,40,4.3,"Water, Dicaprylyl Maleate, C12-15 Alkyl Benzoate, Butylene Glycol, Glycerin, Sorbitan Stearate, Squalane, Stearic Acid, Retinol, Caprylic/Capric Triglyceride, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Arnica Montana Flower Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Hydrolyzed Soy Flour, Spiraea Ulmaria Extract, Honey (Mel) Extract, Cetearyl Alcohol, Ceteareth-20, Talc, Glycolipids, Sodium Hyaluronate, Panthenol, Lecithin, Avena Sativa (Oat) Kernel Protein, Tocopherol, Magnesium Ascorbyl Phosphate , Chondrus Crispus (Carrageenan) Extract, Dimethicone, Sodium PCA, Allantoin, Sclerotium Gum, Carbomer, Disodium EDTA, Aminomethyl Propanol, Phenoxyethanol, Caprylyl Glycol, Chlorphenesin, Citrus Aurantium Dulcis (Orange) Fruit Extract.",1,0,1,1,0
Sun protect,ILIA,Flow-Thru Radiant Transclucent Powder SPF 20,34,3.6,"This ingredient list is subject to change, it is the most up-to-date ingredient list and may differ from product packaging.",1,0,1,0,1
Eye cream,SKIN INC SUPPLEMENT BAR,Vitamin A Serum EVEN TONE & REDUCE DARK CIRCLES,35,3.5,"Water, Butylene Glycol, Glycerin, Pentylene Glycol, Potassium Hydroxide, Carbomer, Polysorbate 80, Phenoxyethanol, Retinyl Palmitate, Corn (Zea Mays) Oil, Alcaligenes Polysaccharides, Titanium Dioxide, Iron Oxides, Algin, BHT.",1,1,1,0,1
