Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Moisturizer,JOSIE MARAN,100 percent Pure Argan Oil,48,4.5,Organic Argania Spinosa (Argan) Kernel Oil*. *Organic. **Natural.,0,1,0,1,1
Face Mask,EVE LOM,WHITE Brightening Mask,160,2.7,"Water, Glycerin, Propanediol, Pentylene Glycol, Niacinamide, Butyrospermum Parkii (Shea) Butter, Squalane, Ppg-10 Methyl Glucose Ether, Panthenol, Ascorbyl Glucoside, Allantoin, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Tocopheryl Acetate, Polyglyceryl-10 Laurate, Glyceryl Stearate Se, Cetyl Alcohol, Carbomer, Olea Europaea (Olive) Fruit Oil, Disodium Edta, Citric Acid, Sodium Citrate, Potassium Hydroxide, Methyl Undecenoyl Leucinate, Glycyrrhiza Glabra (Licorice) Root Extract, Sodium Hyaluronate, Sodium Pca, Phenoxyethanol.",1,1,1,1,1
Cleanser,CHARLOTTE TILBURY,Multi-Miracle Glow Cleansing Balm,60,4.9,"Glycerin, Water, Caprylic/Capric Triglyceride, Cyclopentasiloxane, Sucrose Stearate, Phenyl Trimethicone, Phenoxyethanol, Microcrystalline Cellulose, Ethylhexylglycerin, Chlorphenesin, Cellulose Gum, Xanthan Gum, Fragrance (Parfum), Camellia Oleifera Seed Oil, Rosa Canina Fruit Oil, Peg-8, Helianthus Annuus (Sunflower) Seed Oil, Tocopherol, Ascorbyl Tetraisopalmitate, Rubus Chamaemorus Seed Oil, Tocopheryl Acetate, Vaccinium Macrocarpon (Cranberry) Seed Oil, Retinyl Palmitate, Ascorbyl Palmitate, Ascorbic Acid, Citric Acid, Bht, Plumeria Rubra Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Hexyl Cinnamal, Benzyl Benzoate, Linalool, Hydroxycitronellal, Cinnamyl Alcohol, Red 40 (Ci 16035).",1,1,1,1,1
Cleanser,SEPHORA COLLECTION,Diamondbuff by Bee Stunning,60,4.5,Visit the SEPHORA COLLECTION boutique,0,0,0,0,0
Treatment,PETER THOMAS ROTH,PROfessional Strength 40% Triple Acid Peel,88,4.0,"Water, Glycolic Acid, Sodium Hydroxide, Arginine, Pentylene Glycol, Sodium Pca, Polysorbate 20, Soyethyl Morpholinium Ethosulfate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, 4-T-Butylcyclohexanol, Cyclodextrin, Glycerin, Mandelic Acid, Myristyl Alcohol, Salicylic Acid, Sodium Hyaluronate, Tocopherol, Ascorbyl Palmitate, Cholesterol, Lecithin, Isohexadecane, Methyldihydrojasmonate, Glyceryl Undecylenate, Sucrose Tetrastearate Triacetate, Hydroxyphenyl Propamidobenzoic Acid, Zea Mays (Corn) Oil, Sodium Borate, Xantham Gum, Polysorbate 80, Sorbitan Oleate, Dipropylene Glycol, Butylene Glycol, Phenoxyethanol, Mica.",1,1,1,1,0
Face Mask,VOLITION BEAUTY,Detoxifying Silt Gelee Mask,60,4.7,"Water, Silt, Kaolin, Carthamus Tinctorius (Safflower) Seed Oil, Panthenol, Butyrospermum Parkii (Shea Butter) Butter, Glyceryl Oleate, Jojoba Oil, Hydrolyzed Quinoa, Butyl Avocadate, Hydroxyethylcellulose, Mica, Zinc Oxide, Hydroxyapatite, Polysorbate 20, Phenoxyethanol, Hydroxyethylacrylate/Sodium Acryloyldimethyltaurate Copolymer, Squalane, Polysorbate 60, Allantoin, Cananga Odorata Flower Oil, Salvia Officinalis (Sage) Oil, Tsuga Canadensis Oil.",1,1,1,1,1
Eye cream,FRESH,Lotus Eye Gel,48,3.8,"Sea Water, Butylene Glycol, Caprylic/Capric/Succinic Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Polyacrylate, Nelumbo Nucifera Flower Extract, Coffea Arabica (Coffee) Extract, Porphyrydium Cruentum Extract, Ginkgo Biloba Leaf Extract, Citrus Medica Limonum (Lemon) Peel Oil, Cucumis Sativus (Cucumber) Fruit Extract, Vitis Vinifera (Grape) Seed Extract, Camellia Sinensis Leaf Extract, Chamomilla Recutita (Matricaria) Extract, Helianthus Annuus (Sunflower) Seed Oil, Retinyl Palmitate, Tocopherol, Chlorphenesin, Tetrasodium Edta, Propylene Glycol, Caprylic/Capric Triglyceride, Tocopheryl Acetate, Carbomer, Magnesium Ascorbyl Phosphate, Phenoxyethanol, Polysorbate 20, Ceratonia Siliqua Gum, Hydroxyethylcellulose, Limonene.",1,1,1,0,0
Face Mask,GLAMGLOW,The Ultimate Glow Set,169,0.0,"-Charcoal: Detoxifies. -Volcanic Pumice: Exfoliates. -Witch Hazel: Tones. SUPERMUD® Clearing Treatment: Water, Kaolin, Magnesium Aluminum Silicate, Mandelic Acid, Carbon, Eucalyptus Globulus Leaf, Tartaric Acid, Pyruvic Acid, Lactic Acid, Salicylic Acid, Glycolic Acid, Eucalyptus Globulus Leaf Powder, Aloe Barbadensis Leaf Juice, Glycyrrhiza Glabra (Licorice) Root Extract, Cucumis Sativus (Cucumber) Fruit Extract, Hedera Helix (Ivy) Extract, Symphytum Officinale (Comfrey) Leaf Extract, Chamomilla Recutita (Matricaria) Extract, Peg-12 Dimethicone, Caprylyl Glycol, Sodium Hydroxide, Butylene Glycol, Mentha Piperita (Peppermint) Oil, Hectorite, Hexylene Glycol, Glycerin, Calendula Officinalis Extract, Maltodextrin, Ethylhexylglycerin, Xanthan Gum, Fragrance, Limonene, Benzyl Benzoate, Linalool, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Iron Oxides (Ci 77499). THIRSTYMUD™ Hydrating Treatment: Water, Caprylic/Capric Triglyceride, Glycerin, Butylene Glycol, Cyclopentasiloxane, Glyceryl Polymethacrylate, Pyrus Malus (Apple) Fruit Extract, Peg-8, Glyceryl Stearate, Peg-100 Stearate, Cetearyl Alcohol, Sodium Polyacryloyldimethyl Taurate, Saccharide Isomerate, Caprylyl Glycol, Olea Europaea (Olive) Leaf Powder, Avena Sativa (Oat) Bran Extract, Hydrogenated Polydecene, Polysorbate 60, Cetyl Alcohol, Zingiber Officinale (Ginger) Root Extract, Menthoxypropanediol, Honey/Mel/Miel, Aminomethyl Propanol, Camellia Sinensis (Green Tea) Leaf Powder, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Tocopheryl Acetate, Allantoin, Kaolin, Hexylene Glycol, Buteth-3, Trideceth-10, Benzophenone-4, Sodium Benzotriazolyl Butylphenol Sulfonate, Cocos Nucifera (Coconut) Fruit Extract, Sodium Hyaluronate, Alcohol, Tris(Tetramethylhydroxypiperidinol) Citrate, Fragrance, Coumarin, Linalool, Tetrahexyldecyl Ascorbate, Disodium Edta, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol Gold GRAVITYMUD™ Firming Treatment: Water, Polyvinyl Alcohol, Alcohol Denat., Butylene Glycol, Glycerin, Ethylhexyl Hydroxystearate, Hamamelis Virginiana (Witch Hazel) Water, Montmorillonite, Pentylene Glycol, Illite, Polysorbate 20, Canadian Colloidal Clay, Caprylyl Glycol, Althaea Officinalis Leaf Extract, Tapioca Starch, Chondrus Crispus (Carrageenan), Colloidal Platinum, Dipotassium Glycyrrhizate, Alcohol, Ascophyllum Nodosum Powder, Polysorbate 80, Polymethylsilsesquioxane, Hydroxypropyl Methylcellulose, Citric Acid, Lecithin, Pullulan, Porphyridium Cruentum Extract, Soy Isoflavones, Sodium Hyaluronate, Xanthan Gum, Fragrance, Coumarin, Disodium Edta, Phenoxyethanol, Sorbic Acid, Potassium Sorbate, Bismuth Oxychloride (Ci 77163). #GLITTERMASK GRAVITYMUD™ Firming Treatment: -TEAOXI® Complex (Licorice and Marshmallow Leaf): Creates a firmer-looking complexion. -Vizitight (Firming Matrix, Marine Algae Plasma, and Biodefine Polymers): Delivers tighter-looking skin. -Lunarlift: Tones and tightens the appearance of skin with soy isoflavone liposome red algae extract. -Cosmiplexion (Icelandic Kelp, Hyaluronic Acid, and Glacial Clay): Supports a youthful appearance.",1,1,1,1,1
Face Mask,PETER THOMAS ROTH,Hungarian Thermal Water Mineral-Rich Atomic Heat Mask,58,4.0,"Magnesium Sulfate, Butyrospermum Parkii (Shea) Butter, Butylene Glycol, Dimethicone, Shea Butter Glycerides, Caprylic/Capric Triglyceride, Ceteareth-20, Kaolin, Zeolite, Helianthus Annuus (Sunflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Prunus Persica (Peach) Kernel Oil, Rosa Moschata Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Glycine Soja (Soybean) Oil, Honey (Mel), Elaeis Guineensis (Palm) Butter, Punica Granatum Fruit Juice, Fagus Sylvatica Bud Extract, Sambucus Nigra Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopherol, Glycerin, Illite, Squalane, Hydrogenated Vegetable Oil, Lecithin, Ethylhexyl Palmitate, Dipropylene Glycol, Dimethicone/PEG-10/15 Crosspolymer, Polysilicone-11, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Water/Aqua/Eau, Ethoxydiglycol, Propylene Glycol, Sodium Citrate, Benzyl Alcohol, Benzoic Acid, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol.",1,1,1,1,1
Moisturizer,LANEIGE,BB Cushion Hydra Radiance SPF 50,38,4.3,"Water, Cyclopentasiloxane, Zinc Oxide (CI 77947), Ethylhexyl Methoxycinnamate, PEG-10 Dimethicone, Cyclohexasiloxane, Phenyl Trimethicone, Iron Oxides (CI 77492), Butylene Glycol Dicaprylate/Dicaprate, Niacinamide, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Titanium Dioxide (CI 77891 , Iron Oxides (CI 77491), Butylene Glycol, Sodium Chloride, Iron Oxides (CI 77499), Aluminum Hydroxide, HDI/Trimethylol Hexyllactone Crosspolymer, Stearic Acid, Methyl Methacrylate Crosspolymer, Triethoxycaprylylsilane, Phenoxyethanol, Fragrance, Disteardimonium Hectorite, Caprylyl Glycol, Yeast Extract, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Dimethicone, Trimethylsiloxysilicate, Polysorbate 80, Disodium EDTA, Hydrogenated Lecithin, Dimethicone/Vinyl Dimethicone Crosspolymer, Mica (CI 77019), Silica, 1,2-Hexanediol, Polypropylsilsesquioxane, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Camellia Sinensis Leaf Extract, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside.",1,1,1,1,1
Moisturizer,FRESH,Black Tea Corset Cream Firming Moisturizer,95,4.0,"Water, Isononyl Isononanoate, CetearylIsononanoate, Hydrogenated Polyisobutene, Butylene Glycol,Glycerin, Pentylene Glycol, Steareth-21, Jojoba Esters, AlpiniaGalanga Leaf Extract, Algin, Saccharomyces Ferment Filtrate,Camellia Sinensis Leaf Extract, Lycium Chinense Fruit Extract,Rubus Fruticosus (Blackberry) Leaf Extract, Litchi Chinensis SeedExtract, Sorbitan Laurate, Sodium Hyaluronate, Hydroxyethylcellu-lose, Adenosine, Acetyl Dipeptide-1 Cetyl Ester, Tocopheryl Acetate,Tocopherol, Myristyl Myristate, Behenyl Alcohol, Cetyl Alcohol,Stearyl Alcohol, Glyceryl Stearate, Decyloxazolidinone, Dimethicone,Diphenylsiloxy Phenyl Trimethicone, Fragrance, Polyacryl-amide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C13-14Isoparaffin, Xanthan Gum, Sorbitol, Tromethamine, Maltodextrin,Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer, Laureth-7,Polyvinyl Alcohol, BHT, Cellulose Gum, Caprylic/CapricTriglyceride, Citric Acid, Sodium Benzoate, Sodium Citrate,Potassium Sorbate, Biotin, Phenoxyethanol, Linalool,Citronellol, Geraniol.",0,0,0,0,0
Treatment,KIEHL'S SINCE 1851,Micro-Blur™ Skin Perfector,35,4.5,"Dimethicone, Water, Glycerin, Dimethicone Crosspolymer, Methyl Methacrylate Crosspolymer, Isononyl Isononanoate, Alcohol Denat., Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Butylene Glycol, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Boron Nitride, Silica Silylate, Phenoxyethanol, Peg/Ppg-18/18 Dimethicone, Perlite, Magnesium Sulfate, Capryloyl Salicylic Acid, Caprylyl Glycol, Menthyl Lactate, Lentil Seed Extract, Bisabolol, Fragrance, Dextrin, Dimethiconol, Ci 77491, Ci 77492, Ci 77499, Iron Oxides, Ci 77891, Titanium Dioxide, Synthetic Fluorphlogopite, Eperua Falcata Bark Extract, Farnesol, Limonene, Disodium Stearoyl Glutamate, Alpha-Isomethyl Ionone, Citronellol, Aluminum Hydroxide.",1,1,1,1,1
Moisturizer,AMOREPACIFIC,Vintage Single Extract Essence,145,4.5,"Water, Propanediol, Glycerin, Camellia Sinensis Leaf Extract, 1,2-Hexanediol, Ethylhexylglycerin.",1,1,1,1,0
Cleanser,SEPHORA COLLECTION,Micellar Cleansing Water & Milk - Pomegranate,7,4.2,No Info,1,1,1,1,1
Face Mask,DR. JART+,Dermask Water Jet Vital Hydra Solution™,6,4.6,"Water, Glycerin, Butylene Glycol, Alcohol, Panthenol, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Hydrolyzed Hyaluronic Acid, Algae Extract, Laminaria Japonica Extract, Chlorphenesin, Hydroxyethylcellulose, Disodium EDTA, Xanthan Gum, PEG-60 Hydrogenated Castor Oil, Glycyrrhiza Glabra (Licorice) Root Extract, Zingiber Officinale (Ginger) Root Extract, Schizandra Chinensis Fruit Extract, Coptis Japonica Root Extract, Camellia Sinensis Leaf Extract, Caprylyl Glycol, 1,2-Hexanediol, Dipotassium Glycyrrhizate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Carbomer, Arginine, Citrus Grandis (Grapefruit) Seed Extract, Acorus Calamus Root Extract, Perilla Ocymoides Leaf Extract, Cyclopentasiloxane, Cyclohexasiloxane, PEG-10 Dimethicone/Vinyl Dimethicone Crosspolymer, Pelargonium Graveolens Flower Oil.",1,1,1,1,1
Treatment,FIRST AID BEAUTY,FAB Skin Lab Retinol Serum 0.25% Pure Concentrate,58,4.3,"Water, Polysorbate 80, Caprylic/Capric Triglyceride, Polysorbate 20, Butylene Glycol, Persea Gratissima (Avocado) Oil, Glycerin, Dimethicone, Retinol, Magnesium Ascorbyl Phosphate, Colloidal Oatmeal, Tocopherol, Hydrolyzed Hyaluronic Acid, Ceramide NP, Acetyl Hexapeptide-8, Linoleic Acid, Allantoin, Phytosteryl Canola Glycerides, Palmitic Acid, Oleic Acid, Glycine Soja (Soybean) Oil, Hydroxypropyl Cyclodextrin, Aloe Barbadensis Leaf Juice, Triolein, Caprylyl Glycol,Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Lecithin, Stearic Acid, Maltodextrin, BHT, BHA, Phenoxyethanol, Sodium Hydroxide, Potassium Sorbate.",1,1,1,1,1
Face Mask,EVE LOM,Moisture Mask,90,3.8,"Water, Glycerin, Cyclopentasiloxane, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, C9-12 Alkane, Glyceryl Polyacrylate, Acrylates Copolymer, Propanediol, Phenoxyethanol, Polyglyceryl-3 Oleate, Sodium Hydroxide, Coco-Caprylate/Caprate, Sodium PCA, Tocopherol, Urea, Ethylhexylglycerin, Polymethylsilsesquioxane, Sodium Hyaluronate, Potassium Sorbate, Trehalose, Lecithin, Avena Strigosa Seed Extract, Leuconostoc/Radish Root Ferment Filtrate, Polyquaternium-51, 1,2-Hexanediol, Hydroxypropyl Bispalmitamide MEA, Phytic Acid.",1,1,1,1,1
